equipment_id,timestamp,temperature,vibration,rpm,run_state
EQ-01,2026-08-01T00:00:00,61.687,1.814,1799.3,RUN
EQ-02,2026-08-01T00:00:00,67.07,2.213,2010.0,RUN
EQ-03,2026-08-01T00:00:00,61.752,2.056,1796.3,RUN
EQ-04,2026-08-01T00:00:00,55.68,1.701,1591.5,RUN
EQ-05,2026-08-01T00:00:00,74.014,2.422,2202.1,RUN
EQ-06,2026-08-01T00:00:00,64.543,2.109,1894.6,RUN
EQ-01,2026-08-01T00:01:00,61.05,1.974,1799.2,RUN
EQ-02,2026-08-01T00:01:00,67.481,2.213,2003.2,RUN
EQ-03,2026-08-01T00:01:00,61.238,1.879,1794.5,RUN
EQ-04,2026-08-01T00:01:00,55.709,1.772,1597.9,RUN
EQ-05,2026-08-01T00:01:00,74.238,2.257,2184.8,RUN
EQ-06,2026-08-01T00:01:00,65.04,2.091,1910.2,RUN
EQ-01,2026-08-01T00:02:00,61.614,2.215,1815.0,RUN
EQ-02,2026-08-01T00:02:00,67.667,2.29,2006.3,RUN
EQ-03,2026-08-01T00:02:00,61.61,1.993,1794.6,RUN
EQ-04,2026-08-01T00:02:00,55.622,1.832,1591.2,RUN
EQ-05,2026-08-01T00:02:00,72.758,2.416,2199.8,RUN
EQ-06,2026-08-01T00:02:00,63.675,1.927,1905.2,RUN
EQ-01,2026-08-01T00:03:00,61.655,2.016,1798.0,RUN
EQ-02,2026-08-01T00:03:00,67.284,1.944,1998.5,RUN
EQ-03,2026-08-01T00:03:00,60.796,2.109,1789.6,RUN
EQ-04,2026-08-01T00:03:00,55.529,1.781,1596.4,RUN
EQ-05,2026-08-01T00:03:00,73.816,2.318,2185.3,RUN
EQ-06,2026-08-01T00:03:00,63.729,2.251,1892.5,RUN
EQ-01,2026-08-01T00:04:00,60.632,1.932,1805.9,RUN
EQ-02,2026-08-01T00:04:00,67.673,2.241,2003.0,RUN
EQ-03,2026-08-01T00:04:00,61.117,1.904,1813.7,RUN
EQ-04,2026-08-01T00:04:00,55.217,1.728,1586.8,RUN
EQ-05,2026-08-01T00:04:00,73.524,2.591,2203.2,RUN
EQ-06,2026-08-01T00:04:00,64.03,2.212,1901.1,RUN
EQ-01,2026-08-01T00:05:00,60.853,1.789,1810.9,RUN
EQ-02,2026-08-01T00:05:00,67.569,2.151,2005.6,RUN
EQ-03,2026-08-01T00:05:00,61.429,1.975,1792.8,RUN
EQ-04,2026-08-01T00:05:00,55.871,1.768,1596.0,RUN
EQ-05,2026-08-01T00:05:00,73.023,2.466,2197.2,RUN
EQ-06,2026-08-01T00:05:00,64.312,2.156,1893.6,RUN
EQ-01,2026-08-01T00:06:00,61.349,2.166,1804.0,RUN
EQ-02,2026-08-01T00:06:00,67.751,2.136,1999.5,RUN
EQ-03,2026-08-01T00:06:00,61.517,1.988,1806.2,RUN
EQ-04,2026-08-01T00:06:00,55.244,1.818,1592.7,RUN
